"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"28","유원시설업(기타)","03_07_08_P","3570000","CDFI5272002019000002","20190726","","02","휴업","02","휴업","","20190830","20200829","","","","","인천광역시 강화군 강화읍 국화리 239","인천광역시 강화군 강화읍 고비고개로19번길 12","23028","강화군 강화 어린이 물놀이장","20220121090941","U","2022-01-23 02:40:00.0","","153562.217984173","471636.377204403","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"29","유원시설업(기타)","03_07_08_P","3570000","CDFI5272002019000001","20190729","","02","휴업","02","휴업","","20190830","20200829","","","","","인천광역시 강화군 길상면 온수리 605-26","인천광역시 강화군 길상면 길상로 244","23050","강화군 길상 어린이 물놀이장","20220121090820","U","2022-01-23 02:40:00.0","","155585.498835311","459431.7083285","신고유원시설업","","","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"30","유원시설업(기타)","03_07_08_P","3290000","CDFI5272002015000005","20150904","","02","휴업","02","휴업","","20220201","20230131","","","","","부산광역시 부산진구 부전동 233-11","부산광역시 부산진구 서면로 24, 6층 (부전동, 부산프라자)","47289","서면베이스볼파크","20220223142035","U","2022-02-25 02:40:00.0","","387470.858138831","185689.777636154","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","300","","4","","","","","","","0","","","","300",
"31","유원시설업(기타)","03_07_08_P","4840000","CDFI5272002017000002","20170421","","02","휴업","02","휴업","","20220201","20220901","","061-815-4896","","","전라남도 광양시 광양읍 덕례리 707","전라남도 광양시 광양읍 순광로 466 (광양LF스퀘어)","57764","닥터밸런스","20220609105929","U","2022-06-11 02:40:00.0","","251717.533681","162792.052728","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","배터리카 3대, 붕붕뜀틀(6인) 1대, 회전야자수 1대","3","","","","","","","","","","","",
"32","유원시설업(기타)","03_07_08_P","4840000","CDFI5272002017000003","20170623","","02","휴업","02","휴업","","20220522","20240521","","","","","전라남도 광양시 중동 1650-4","전라남도 광양시 공영로 59 (중동)","57788","점프노리","20220526094245","U","2022-05-28 02:40:00.0","","263490.4125","159920.322621","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","붕붕뜀틀(3인) 1대, 붕붕뜀틀(13인) 1대","","","","","","","","","","","","",
"33","유원시설업(기타)","03_07_08_P","4840000","CDFI5272002018000003","20180719","","02","휴업","02","휴업","","20210701","20230702","","","","","전라남도 광양시 봉강면 봉당리 61-2번지 일원","","","백운제 물체험장","20220622085340","U","2022-06-24 02:40:00.0","","","","신고유원시설업","","관리지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"34","유원시설업(기타)","03_07_08_P","4910000","CDFI5272002014000002","20140802","","02","휴업","02","휴업","","20140808","20150730","","","","529801","전라남도 장흥군 장흥읍 건산리 805번지","","","제7회 정남진 장흥 물축제 물놀이장","20141118083136","I","2018-08-31 23:59:59.0","","","","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","",
"35","유원시설업(기타)","03_07_08_P","3650000","CDFI5272002017000002","20170217","","02","휴업","02","휴업","","20220502","20231231","","02-569-1440","","","대전광역시 중구 은행동 65-8","대전광역시 중구 중앙로170번길 23 (은행동)","34922","VR ZONE","20220503094334","U","2022-05-05 02:40:00.0","","238453.782771","314297.606276","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","다이나믹시트(스페이스 델타) 등 2종 4대","0","","","","","","","0","","","","0",
"36","유원시설업(기타)","03_07_08_P","5530000","CDFI5272002016000006","20160708","","02","휴업","02","휴업","","20220519","20220818","","0312249899","","","경기도 화성시 안녕동 188-559 2층","경기도 화성시 세자로 442, 2층 (안녕동)","18326","노리파크 안녕점","20220519164749","U","2022-05-21 02:40:00.0","","198568.07325600000","411644.20072300000","신고유원시설업","","","0","","","","근린생활시설","2","0","0","0","","","0","0","","0","0","","0","0","정기확인검사(2018.11.27.)","0","","","","","","","0","","","","0",
"37","유원시설업(기타)","03_07_08_P","5020000","CDFI5272002017000011","20170824","","02","휴업","02","휴업","","20201231","20241231","","","","","경상북도 포항시 북구 양덕동 1837","경상북도 포항시 북구 장량로 223 (양덕동)","37592","유후점핑클럽","20220721084159","U","2022-07-23 02:40:00.0","","416571.338755097","289526.362268535","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"38","유원시설업(기타)","03_07_08_P","5050000","CDFI5272002021000011","20211117","","02","휴업","02","휴업","","20220118","20220228","","","","","경상북도 경주시 산내면 대현리 469-3","경상북도 경주시 산내면 대현길 176-10","38187","청석들캠핑장","20220120181738","U","2022-01-22 02:40:00.0","","387277.558738434","248417.673302269","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"39","유원시설업(기타)","03_07_08_P","5350000","CDFI5272002016000004","20160624","","02","휴업","02","휴업","","20220629","20230628","","055-272-1040","","","경상남도 김해시 외동 1264 신세계백화점 5층","경상남도 김해시 김해대로 2232, 신세계백화점 5층 (외동)","50938","㈜신세계김해점 뽀로로빌리지","20220629114049","U","2022-07-01 02:40:00.0","","370364.763087174","193812.296089478","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3077.7","055-272-1997(매장), 1040(지원팀)","2","","","","","","","0","","","","3078",
"40","유원시설업(기타)","03_07_08_P","4330000","CDFI5272002017000002","20170719","","02","휴업","02","휴업","","20220822","20230714","","","","","강원도 인제군 기린면 북리 516","강원도 인제군 기린면 상하답로 130","24654","(주)인제스피디움","20220830142109","U","2022-09-01 02:40:00.0","","313775.15686500000","501080.94397300000","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"41","유원시설업(기타)","03_07_08_P","3720000","CDFI5272002017000002","20170602","","02","휴업","02","휴업","","20210419","20211231","","0522935037","","","울산광역시 북구 산하동 산하동 78호","울산광역시 북구 화암1길 34, 산하동 1층 (산하동)","44264","쁘띠몽드 강동점","20210419175554","U","2021-04-21 02:40:00.0","","420697","239901","신고유원시설업","","주거지역","4","아파트지역","","","근린생활시설","3","1","","","","","","","","","","","","231.06","","","","","","","","","","","","","231",
"42","유원시설업(기타)","03_07_08_P","3530000","CDFI5272002017000004","20170321","","02","휴업","02","휴업","","20220118","20300101","","","","","인천광역시 남동구 구월동 1533-3 801호","인천광역시 남동구 선수촌공원로 37, 801호 (구월동, 중앙프라자(상업5-3,5-4))","21582","쁘띠몽드 키즈카페","20220630130850","U","2022-07-02 02:40:00.0","","174246.454268522","437830.958320029","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"43","유원시설업(기타)","03_07_08_P","6520000","CDFI5272002020000002","20200721","","02","휴업","02","휴업","","20220901","20230731","","064-797-8870","","","제주특별자치도 서귀포시 표선면 세화리 1564","제주특별자치도 서귀포시 표선면 일주동로 6337","63625","농협은행제주수련원","20220928112937","U","2022-09-30 02:40:00.0","","180807","-21128","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"44","유원시설업(기타)","03_07_08_P","4840000","CDFI5272002020000001","20200730","","02","휴업","02","휴업","","20211101","20220630","","","","","전라남도 광양시 옥룡면 동곡리 산 106-14","전라남도 광양시 옥룡면 신재로 1457","57703","필관광하우스","20211117101326","U","2021-11-19 02:40:00.0","","255200.10835400000","175941.22938000000","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"45","유원시설업(기타)","03_07_08_P","4610000","CDFI5272002020000002","20200804","","02","휴업","02","휴업","","20210728","20220727","","041-338-1327","","","충청남도 예산군 삽교읍 목리 942 내포 에드가프라자 3차","충청남도 예산군 삽교읍 의향로 315, 내포 에드가프라자 3차 5층 507호, 508호","32416","조이어드벤쳐","20210728183306","U","2021-07-30 02:40:00.0","","171334.02559","351273.228166","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","유원시설업(기타)","03_07_08_P","5350000","CDFI5272002020000007","20200824","","02","휴업","02","휴업","","20220928","20270927","","","","","경상남도 김해시 어방동 529-6 진성빌딩 401호","경상남도 김해시 인제로170번길 7, 진성빌딩 4층 401호 (어방동)","50819","꼬마대통령 주니어","20220929125752","U","2022-10-01 02:40:00.0","","373311.534285663","195525.858670093","신고유원시설업","","일반상업지역","6","기타","","","근린생활시설","5","1","","","","","","","","","","","","342.69","","1","","","","","","","","","","","343",
"47","유원시설업(기타)","03_07_08_P","5050000","CDFI5272002020000003","20200812","","02","휴업","02","휴업","","20220913","20230531","","","","","경상북도 경주시 양남면 신대리 20-67","경상북도 경주시 양남면 솔숲3길 20","38221","오션힐즈 마을회","20220923095739","U","2022-09-25 02:40:00.0","","417832.910321891","243235.829258569","신고유원시설업","","관리지역","0","주택가주변","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","388.95","미니슬라이드 1(실내), 미니에어바운스 2종(실외)","1","","","","","","","0","","","","389",
"48","유원시설업(기타)","03_07_08_P","4400000","CDFI5272002021000012","20210712","","02","휴업","02","휴업","","20220615","20230614","","","","","충청북도 제천시 금성면 월림리 16","충청북도 제천시 금성면 산곡3길 153","27208","LAFORESTA(라포레스타)","20220615171423","U","2022-06-17 02:40:00.0","","305633.519683","399182.052706","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"49","유원시설업(기타)","03_07_08_P","3570000","CDFI5272002021000002","20210927","","02","휴업","02","휴업","","20211021","20220601","","","","","인천광역시 강화군 화도면 여차리 352","인천광역시 강화군 화도면 해안남로 2171-27","23061","하나비 펜션","20211025195529","U","2021-10-27 02:40:00.0","","146730.313144273","455955.719696523","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"50","유원시설업(기타)","03_07_08_P","4790000","CDFI5272002021000001","20210730","","02","휴업","02","휴업","","","","","063-580-4621","","","전라북도 부안군 부안읍 선은리 7-4","전라북도 부안군 부안읍 별천지로 3","56317","부안해뜰마루 물놀이장","20210930115641","U","2021-10-02 02:40:00.0","","176664.997928","247457.320061","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","3","","","","","","","0","","","","0",
"51","유원시설업(기타)","03_07_08_P","4090000","CDFI5272002016000002","20160705","","02","휴업","02","휴업","","20170827","20180630","","031-989-6733","","","경기도 김포시 월곶면 고막리 82-1번지","경기도 김포시 월곶면 용강로13번길 38 (김포시청소년수련원)","10024","김포사계절썰매장","20170908181018","I","2018-08-31 23:59:59.0","","161290.821","469272.143333333","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"52","유원시설업(기타)","03_07_08_P","4160000","CDFI5272002016000001","20160722","","02","휴업","02","휴업","","20190713","20220601","","031-8078-8028","","","경기도 가평군 가평읍 달전리 산 8번지","경기도 가평군 가평읍 자라섬로 60 (자라섬안내소)","12421","자라섬야외수영장(가평군시설관리공단)","20191007145112","U","2019-10-09 02:40:00.0","","246017.934434376","479533.288039534","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","",
"53","유원시설업(기타)","03_07_08_P","3860000","CDFI5272002018000001","20180302","","02","휴업","02","휴업","","20211209","20220331","","","","","경기도 부천시 원종동 281-15 정복빌딩","경기도 부천시 소사로 740, 정복빌딩 4층 (원종동)","14424","쥬키즈카페","20220117113538","U","2022-01-19 02:40:00.0","","182707.35487654","446652.125198186","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","미니기차(12.8m), 붕붕뜀틀 1(15㎡), 붕붕뜀틀 1(8.3㎡)","0","","","","","","","0","","","","0",
"54","유원시설업(기타)","03_07_08_P","6510000","CDFI5272002018000009","20180921","","02","휴업","02","휴업","","20211125","20221231","","064-749-2221","","","제주특별자치도 제주시 연동 263-15 메종글래드 제주","제주특별자치도 제주시 노연로 80, 메종글래드 제주 1층 (연동)","63132","릴리펏 제주점","20211125140642","U","2021-11-27 02:40:00.0","","152390.482527","-1164.56501308","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","356","사업자 안전교육 (19.11.29.)","0","","","","","","","0","","","","356",
"55","유원시설업(기타)","03_07_08_P","3930000","CDFI5272002021000001","20210421","","02","휴업","02","휴업","","20220822","20221021","","031-418-2888","","","경기도 안산시 상록구 본오동 874 상록수아카데미타워 501호","경기도 안산시 상록구 상록수로 34, 상록수아카데미타워 501호 (본오동)","15532","(주)점핑고 키즈카페","20220822180208","U","2022-08-24 02:40:00.0","","187852.53559403","422244.178054338","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","11","","","","","","","0","","","","0",
"56","유원시설업(기타)","03_07_08_P","5480000","CDFI5272002009000001","20090724","","02","휴업","02","휴업","","20180519","20190518","","","","678942","경상남도 합천군 대양면 정양리 613번지","경상남도 합천군 대양면 동부로 39-20","50239","(주)에이치엘디","20180524135846","I","2018-08-31 23:59:59.0","","305711.985658039","229365.895641843","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"57","유원시설업(기타)","03_07_08_P","3910000","CDFI5272002018000010","20181024","","02","휴업","02","휴업","","20220502","20230226","","","","","경기도 평택시 팽성읍 원정리 164-3","경기도 평택시 팽성읍 내리길 26","17973","더 펀 팩토리","20220509112042","U","2022-05-11 02:40:00.0","","203107.667233308","385776.098581771","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
